DEPENDENCIA
"C.A.E. ""ALEJANDRO GUILLOT S."""
"C.A.E. ""CARLOS CASAS CAMPILLO"""
"C.A.E. ""CARLOS VALLEJO MARQUEZ """
"C.A.E. ""FRANCISCO PLATA LIMON"""
"C.A.E. ""JOSE GOMEZ TAGLE """
"C.A.E. ""JUAN O'GORMAN"""
"C.A.E. ""MANUEL CERRILLO V."""
"C.A.E. ""MANUEL L. STAMPA"
CENDI AMALIA SOLORZANO DE C.
CENDI CLEMENTINA BATALLA DE B.
CENDI EVA SAMANO DE LOPEZ M.
CENDI LAURA PEREZ DE BATIZ
CENDI MARGARITA SALAZAR DE E.
CENLEX SANTO TOMÁS
CENLEX ZACATENCO
CENTRO DE APOYO POLIFUNCIONAL SANTO TOMAS
CENTRO DE APOYO POLIFUNCIONALZACATENCO
CENTRO DE NANOCIENCIA Y MICRO Y NANOTECNOLOGIAS
CENTRO NACIONAL DE CÁLCULO
COORDINACION DE CENTROS DE DESARROLLO INFANTIL
COORDINACIÓN DE IMAGEN INSTITUCIONAL
COORDINACIÓN GENERAL DE PLANEACIÓN E INFORMACIÓN INSTITUCIONAL
COORDINACION POLITECNICA PARA LA SUSTENTABILIDAD
DEFENSORIA DE LOS DERECHOS POLITÉCNICOS
DEPTO PRESTACIONES Y SERVICIOS
DIRECCIÓN DE ACTIVIDADES DEPORTIVAS
DIRECCION DE ADMINISTRACIÓN ESCOLAR
DIRECCIÓN DE APOYOS A ESTUDIANTES
DIRECCIÓN DE BIBLIOTECAS Y PUBLICACIONES
DIRECCION DE CAPITAL HUMANO
DIRECCION DE COMPUTO Y COMUNICACIONES
DIRECCIÓN DE DIFUSIÓN CULTURAL
DIRECCIÓN DE DIFUSIÓN DE CIENCIA Y TECNOLOGÍA
DIRECCION DE EDUCACION MEDIA SUPERIOR
DIRECCION DE EDUCACION SUPERIOR
DIRECCIÓN DE EDUCACIÓN VIRTUAL
DIRECCION DE EGRESADOS Y SERVICIO SOCIAL
DIRECCIÓN DE FORMACIÓN E INNOVACIÓN EDUCATIVA
DIRECCION DE FORMACIÓN EN LENGUAS EXTRANJERAS
DIRECCIÓN DE INCUBACIÓN DE EMPRESAS TECNOLÓGICAS
DIRECCIÓN DE INFORMACIÓN INSTITUCIONAL.
DIRECCIÓN DE PLANEACIÓN Y ORGANIZACIÓN
DIRECCION DE PROGRAMACION Y PRESUPUESTO
DIRECCIÓN DE PROSPECTIVA E INTELIGENCIA TECNOLÓGICA (TECHNOPOLI)
DIRECCION DE RECURSOS FINANCIEROS
DIRECCIÓN DE RECURSOS MATERIALES E INFRAESTRUCTURA
DIRECCIÓN DE RELACIONES INTERNACIONALES
DIRECCIÓN DE SERVICIOS EMPRESARIALES Y TRANSFERENCIA TECNOLÓGICA
DIRECCION DE SERVICIOS ESTUDIANTILES
DIRECCIÓN DE SERVICIOS GENERALES
DIRECCIÓN DE SISTEMAS INFORMÁTICOS
DIRECCIÓN DE VINCULACIÓN Y DESARROLLO REGIONAL
DIRECCION GENERAL
DIRECTOR DE LA ORQUESTA SINFONICA DEL IPN
ESTACION DE RADIODIFUSION XHIPN-FM 95.7 MHZ
OFICINA DEL ABOGADO GENERAL
ORGANO INTERNO DE CONTROL
ORIENTACION JUVENIL SANTO TOMAS
PLANETARIO LUIS ENRIQUE ERRO
PRESIDENCIA DEL DECANATO
PROYECTOS ESPECIFICOS DEL ORGANO INTERNO DE CONTROL EN EL IPN
SECRETARIA ACADEMICA
SECRETARIA DE ADMINISTRACION
SECRETARÍA DE INNOVACIÓN E INTEGRACIÓN SOCIAL
SECRETARIA DE INVESTIGACIÓN Y  POSGRADO
SECRETARIA DE SERVICIOS EDUCATIVOS
SECRETARIA GENERAL
UNIDAD POLITECNICA DE GESTION CON PERSPECTIVA DE GENERO
CECyT 1 Gonzalo Vázquez Vela
CECyT 10 Carlos Vallejo Márquez
CECyT 11 Wilfrido Massieu
CECyT 12 José María Morelos
CECyT 13 Ricardo Flores Magón
CECyT 14 Luis Enrique Erro
CECyT 15 Diódoro Antúnez Echegaray
CECyT 16 Hidalgo
CECyT 17 León Guanajuato
CECyT 18 Zacatecas
CECyT 19 Leona Vicario
CECyT 2 Miguel Bernard
CECyT 3 Estanislao Ramírez Ruiz
CECyT 4 Lazaro Cárdenas
CECyT 5 Benito Juárez
CECyT 6 Miguel Othón de Mendizábal
CECyT 7 Cuauhtémoc
CECyT 8 Narciso Bassols
CECyT 9 Juan de Dios Bátiz
CET 1 Walter Cross Buchanan
CICS MILPA ALTA
CICS SANTO TOMÁS
ENBA
ENCB
ENMH
ESCA SANTO TOMÁS
ESCA TEPEPAN
ESCOM
ESE
ESEO
ESFM
ESIA TECAMACHALCO
ESIA TICOMÁN
ESIA ZACATENCO
ESIME AZCAPOTZALCO
ESIME CULHUACAN
ESIME TICOMÁN
ESIME ZACATENCO
ESIQIE
ESIT
ESM
EST
UPIBI
UPIEM
UPIIC
UPIICSA
UPIIG
UPIIH
UPIIP
UPIIT
UPIITA
U.P.I.I.Z.
CBG
CENTRO DE DESARROLLO AEROESPACIAL
"CENTRO DE INNOVACIÓN E INTEGRACIÓN TECNOL. AVANZADAS, CHIHUAHUA"
"CENTRO DE INNOVACIÓN E INTEGRACIÓN TECNOL. AVANZADAS, VERACRUZ"
CEPROBI
CIBA
CIC
CICATA  ALTAMIRA
CICATA  LEGARIA
CICATA  QUERÉTARO
CICATA MORELOS
CICIMAR
CIDETEC
CIECAS
CIIDIR  MICHOACAN
CIIDIR DURANGO
CIIDIR OAXACA
CIIDIR SINALOA
CIIEMAD
CIITEC
CITEDI
CMP+L
CRP+L TAB.
CVDR  TIJUANA
"CVDR CAJEME, SONORA"
CVDR CAMPECHE
CVDR CANCÚN
CVDR CULIACÁN
CVDR DURANGO
CVDR LOS MOCHIS
CVDR MAZATLÁN
CVDR MORELIA
CVDR OAXACA
CVDR TAMPICO
CVDR TLAXCALA
ABOGADO GENERAL
"C.A.E. ""GUILLERMO MASSIEU """
"C.A.E. ""MA. LUISA PRADO DE M."
CENLEX S. T.
CENLEX ZAC.
COORDINACIÓN GENERAL DEL CENTRO NACIONAL DE CÁLCULO
COORDINACION INSTITUCIONAL DE TUTORIA POLITECNICA
DIRECCIÓN DE PROSPECTIVA E INTELIGENCIA TECNOLÓGICA TECNÓPOLI
DIRECCION DE PUBLICACIONES
C.E.CYT. # 19 LEONA VICARIO TECÁMAC
CECyT 1 GVV
CECyT 10 CVM
CECyT 11 WM
CECyT 12 JMMP
CECyT 13 RFM
CECyT 14 LEE
CECyT 15 DAE
CECyT 16 PACHUCA HIDALGO
