HOMBRE ,MUJER,UNIDAD ACADEMICA ,NIVEL,IDIOMA,POBLACION,COMPETENCIA
4,11,CENTRO DE LENGUAS EXTRANJERAS UNIDAD SANTO TOMÁS,MEDIO SUPERIOR,ITALIANO,Población IPN,BASICO
24,43,CENTRO DE LENGUAS EXTRANJERAS UNIDAD SANTO TOMÁS,SUPERIOR,ITALIANO,Población IPN,BASICO
0,1,CENTRO DE LENGUAS EXTRANJERAS UNIDAD SANTO TOMÁS,POSGRADO,ITALIANO,Población IPN,BASICO
19,35,CENTRO DE LENGUAS EXTRANJERAS UNIDAD SANTO TOMÁS,EGRESADOS,ITALIANO,Población IPN,BASICO
2,5,CENTRO DE LENGUAS EXTRANJERAS UNIDAD SANTO TOMÁS,EMPLEADOS,ITALIANO,Población IPN,BASICO
32,74,CENTRO DE LENGUAS EXTRANJERAS UNIDAD SANTO TOMÁS,No aplica,ITALIANO,Población General,BASICO
2,1,CENTRO DE LENGUAS EXTRANJERAS UNIDAD SANTO TOMÁS,MEDIO SUPERIOR,ITALIANO,Población IPN,INTERMEDIO
9,18,CENTRO DE LENGUAS EXTRANJERAS UNIDAD SANTO TOMÁS,SUPERIOR,ITALIANO,Población IPN,INTERMEDIO
11,20,CENTRO DE LENGUAS EXTRANJERAS UNIDAD SANTO TOMÁS,EGRESADOS,ITALIANO,Población IPN,INTERMEDIO
5,18,CENTRO DE LENGUAS EXTRANJERAS UNIDAD SANTO TOMÁS,No aplica,ITALIANO,Población General,INTERMEDIO
1,3,CENTRO DE LENGUAS EXTRANJERAS UNIDAD SANTO TOMÁS,SUPERIOR,ITALIANO,Población IPN,AVANZADO
3,6,CENTRO DE LENGUAS EXTRANJERAS UNIDAD SANTO TOMÁS,EGRESADOS,ITALIANO,Población IPN,AVANZADO
0,5,CENTRO DE LENGUAS EXTRANJERAS UNIDAD SANTO TOMÁS,No aplica,ITALIANO,Población General,AVANZADO
14,9,CENTRO DE LENGUAS EXTRANJERAS UNIDAD SANTO TOMÁS,MEDIO SUPERIOR,JAPONÉS,Población IPN,BASICO
39,42,CENTRO DE LENGUAS EXTRANJERAS UNIDAD SANTO TOMÁS,SUPERIOR,JAPONÉS,Población IPN,BASICO
0,1,CENTRO DE LENGUAS EXTRANJERAS UNIDAD SANTO TOMÁS,POSGRADO,JAPONÉS,Población IPN,BASICO
47,36,CENTRO DE LENGUAS EXTRANJERAS UNIDAD SANTO TOMÁS,EGRESADOS,JAPONÉS,Población IPN,BASICO
1,2,CENTRO DE LENGUAS EXTRANJERAS UNIDAD SANTO TOMÁS,EMPLEADOS,JAPONÉS,Población IPN,BASICO
49,47,CENTRO DE LENGUAS EXTRANJERAS UNIDAD SANTO TOMÁS,No aplica,JAPONÉS,Población General,BASICO
1,2,CENTRO DE LENGUAS EXTRANJERAS UNIDAD SANTO TOMÁS,MEDIO SUPERIOR,PORTUGUÉS,Población IPN,BASICO
11,13,CENTRO DE LENGUAS EXTRANJERAS UNIDAD SANTO TOMÁS,SUPERIOR,PORTUGUÉS,Población IPN,BASICO
0,1,CENTRO DE LENGUAS EXTRANJERAS UNIDAD SANTO TOMÁS,POSGRADO,PORTUGUÉS,Población IPN,BASICO
17,25,CENTRO DE LENGUAS EXTRANJERAS UNIDAD SANTO TOMÁS,EGRESADOS,PORTUGUÉS,Población IPN,BASICO
2,1,CENTRO DE LENGUAS EXTRANJERAS UNIDAD SANTO TOMÁS,EMPLEADOS,PORTUGUÉS,Población IPN,BASICO
13,14,CENTRO DE LENGUAS EXTRANJERAS UNIDAD SANTO TOMÁS,No aplica,PORTUGUÉS,Población General,BASICO
1,0,"CENTRO DE ESTUDIOS CIENTIFICOS Y TECNOLÓGICOS NO. 3 ""ESTANISLAO RAMÍREZ RUIZ""",EMPLEADOS,INGLÉS,Población IPN,BASICO
317,384,"CENTRO DE ESTUDIOS CIENTIFICOS Y TECNOLÓGICOS NO. 3 ""ESTANISLAO RAMÍREZ RUIZ""",No aplica,INGLÉS,Población General,BASICO
75,80,"CENTRO DE ESTUDIOS CIENTIFICOS Y TECNOLÓGICOS NO. 3 ""ESTANISLAO RAMÍREZ RUIZ""",MEDIO SUPERIOR,INGLÉS,Población IPN,INTERMEDIO
35,29,"CENTRO DE ESTUDIOS CIENTIFICOS Y TECNOLÓGICOS NO. 3 ""ESTANISLAO RAMÍREZ RUIZ""",SUPERIOR,INGLÉS,Población IPN,INTERMEDIO
1,0,"CENTRO DE ESTUDIOS CIENTIFICOS Y TECNOLÓGICOS NO. 3 ""ESTANISLAO RAMÍREZ RUIZ""",EGRESADOS,INGLÉS,Población IPN,INTERMEDIO
79,136,"CENTRO DE ESTUDIOS CIENTIFICOS Y TECNOLÓGICOS NO. 3 ""ESTANISLAO RAMÍREZ RUIZ""",No aplica,INGLÉS,Población General,INTERMEDIO
43,40,"CENTRO DE ESTUDIOS CIENTIFICOS Y TECNOLÓGICOS NO. 3 ""ESTANISLAO RAMÍREZ RUIZ""",MEDIO SUPERIOR,INGLÉS,Población IPN,AVANZADO
29,19,"CENTRO DE ESTUDIOS CIENTIFICOS Y TECNOLÓGICOS NO. 3 ""ESTANISLAO RAMÍREZ RUIZ""",SUPERIOR,INGLÉS,Población IPN,AVANZADO
2,3,"CENTRO DE ESTUDIOS CIENTIFICOS Y TECNOLÓGICOS NO. 3 ""ESTANISLAO RAMÍREZ RUIZ""",EGRESADOS,INGLÉS,Población IPN,AVANZADO
55,63,"CENTRO DE ESTUDIOS CIENTIFICOS Y TECNOLÓGICOS NO. 3 ""ESTANISLAO RAMÍREZ RUIZ""",No aplica,INGLÉS,Población General,AVANZADO
2,6,ESCUELA SUPERIOR DE INGENIERÍA QUÍMICA E INDUSTRIAS EXTRACTIVAS,MEDIO SUPERIOR,INGLÉS,Población IPN,BASICO
77,50,ESCUELA SUPERIOR DE INGENIERÍA QUÍMICA E INDUSTRIAS EXTRACTIVAS,SUPERIOR,INGLÉS,Población IPN,BASICO
